player_id,name,age,position,appearances,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,tackles,interceptions,dribble_attempts,successful_dribbles,photo
19465,David Raya,30,Goalkeeper,38,3420.0,7.052631,0.0,0.0,,,1232.0,1.0,,2.0,1.0,1.0,https://media.api-sports.io/football/players/19465.png
2273,Kepa,31,Goalkeeper,32,2790.0,7.145161,,0.0,1.0,,901.0,1.0,1.0,,1.0,1.0,https://media.api-sports.io/football/players/2273.png
38746,J. Timber,24,Defender,30,2423.0,6.953333,1.0,3.0,8.0,4.0,1182.0,17.0,58.0,22.0,48.0,24.0,https://media.api-sports.io/football/players/38746.png
19959,B. White,28,Defender,20,1213.0,6.970588,,2.0,5.0,2.0,590.0,10.0,20.0,16.0,5.0,,https://media.api-sports.io/football/players/19959.png
61431,J. Kiwior,25,Defender,37,1132.0,6.888235,1.0,0.0,1.0,1.0,729.0,5.0,22.0,6.0,5.0,3.0,https://media.api-sports.io/football/players/61431.png
313245,M. Lewis-Skelly,19,Defender,23,1370.0,6.778260,1.0,0.0,1.0,1.0,667.0,8.0,22.0,7.0,21.0,12.0,https://media.api-sports.io/football/players/313245.png
22224,Gabriel Magalhães,28,Defender,28,2366.0,7.239285,3.0,1.0,15.0,5.0,1628.0,14.0,25.0,16.0,5.0,4.0,https://media.api-sports.io/football/players/22224.png
22090,W. Saliba,24,Defender,35,3042.0,6.997142,2.0,0.0,5.0,3.0,2548.0,7.0,61.0,21.0,18.0,12.0,https://media.api-sports.io/football/players/22090.png
641,O. Zinchenko,29,Defender,31,542.0,6.742857,,1.0,2.0,,402.0,3.0,5.0,5.0,4.0,3.0,https://media.api-sports.io/football/players/641.png
157052,R. Calafiori,23,Defender,22,984.0,6.938888,2.0,1.0,9.0,6.0,479.0,6.0,27.0,9.0,12.0,9.0,https://media.api-sports.io/football/players/157052.png
2937,D. Rice,26,Midfielder,35,2833.0,7.351428,4.0,7.0,33.0,15.0,1476.0,61.0,53.0,25.0,28.0,14.0,https://media.api-sports.io/football/players/2937.png
313236,E. Nwaneri,18,Midfielder,36,946.0,6.915384,4.0,2.0,12.0,9.0,364.0,16.0,11.0,2.0,56.0,37.0,https://media.api-sports.io/football/players/313236.png
37127,M. Ødegaard,27,Midfielder,30,2331.0,7.290000,3.0,8.0,30.0,17.0,1390.0,64.0,19.0,6.0,57.0,25.0,https://media.api-sports.io/football/players/37127.png
47311,Mikel Merino,29,Midfielder,28,1581.0,7.039285,7.0,2.0,31.0,15.0,558.0,18.0,46.0,15.0,19.0,9.0,https://media.api-sports.io/football/players/47311.png
727,R. Nelson,26,Attacker,2,2.0,,,0.0,,,,,1.0,,,,https://media.api-sports.io/football/players/727.png
643,Gabriel Jesus,28,Attacker,17,603.0,6.862500,3.0,0.0,16.0,8.0,190.0,8.0,10.0,4.0,19.0,9.0,https://media.api-sports.io/football/players/643.png
1460,B. Saka,24,Attacker,25,1735.0,7.528000,6.0,10.0,41.0,23.0,598.0,61.0,30.0,3.0,78.0,41.0,https://media.api-sports.io/football/players/1460.png
978,K. Havertz,26,Attacker,23,1875.0,7.056521,9.0,3.0,44.0,21.0,502.0,17.0,16.0,6.0,33.0,9.0,https://media.api-sports.io/football/players/978.png
1946,L. Trossard,31,Attacker,38,2551.0,7.078947,8.0,7.0,44.0,22.0,853.0,42.0,31.0,9.0,75.0,38.0,https://media.api-sports.io/football/players/1946.png
127769,Gabriel Martinelli,24,Attacker,33,2298.0,6.893939,8.0,4.0,40.0,25.0,589.0,40.0,23.0,5.0,92.0,33.0,https://media.api-sports.io/football/players/127769.png
402329,A. Heaven,19,Defender,3,,,,,,,,,,,,,https://media.api-sports.io/football/players/402329.png
153407,N. Butler-Oyedeji,22,Attacker,1,6.0,6.700000,0.0,0.0,1.0,1.0,,,,,,,https://media.api-sports.io/football/players/153407.png
645,R. Sterling,31,Attacker,17,496.0,6.643750,0.0,2.0,4.0,,182.0,8.0,9.0,1.0,20.0,10.0,https://media.api-sports.io/football/players/645.png
49,T. Partey,32,Midfielder,35,2798.0,7.154285,4.0,2.0,21.0,9.0,1840.0,19.0,89.0,35.0,33.0,24.0,https://media.api-sports.io/football/players/49.png
1117,K. Tierney,28,Defender,13,250.0,6.863636,1.0,0.0,2.0,1.0,145.0,8.0,7.0,3.0,3.0,2.0,https://media.api-sports.io/football/players/1117.png
2597,T. Tomiyasu,27,Defender,1,16.0,6.700000,,0.0,1.0,,4.0,,,,,,https://media.api-sports.io/football/players/2597.png
2289,Jorginho,34,Midfielder,15,705.0,6.675000,0.0,0.0,2.0,,473.0,3.0,12.0,7.0,3.0,1.0,https://media.api-sports.io/football/players/2289.png
