alias,current_club_id,evidence
1. FC Heidenheim,2036,20
1. FC Köln,3,19
1. Fußballclub Heidenheim 1846,2036,21
1.FC Köln,3,20
1.FC Nuremberg,4,1
1.FC Slovacko,5544,1
1.FC Union Berlin,89,21
1.FSV Mainz 05,39,21
1899 Hoffenheim,533,16
A.G.S Asteras Tripolis,6676,1
AC Ajaccio,1147,1
AC Carpi,4102,1
AC Horsens,2414,1
AC Milan,5,21
AC Monza,2919,1
AC Sparta Prague,197,1
ACF Fiorentina,430,17
ACSC FC Arges,41278,1
ACSM Politehnica Iasi,33966,1
ADO Den Haag,1268,1
AEL Kalloni,28956,1
AFC Bournemouth,989,19
AFC Unirea 04 Slobozia,29700,1
AJ Auxerre,290,21
AO FK Zenit Sankt-Peterburg,964,1
AO Platanias,21957,1
AO Xanthi,128,1
AOK Kerkyra,5219,1
APO Levadiakos Football Club,2672,1
APS Atromitos Athinon,3060,1
AS Monaco,162,22
AS Nancy-Lorraine,1159,1
AS Roma,12,22
AS Saint-Étienne,618,1
ASFC Buzau (2016-2025),11380,1
AZ Alkmaar,1090,1
Aalborg BK,1053,1
Aalesunds Fotballklubb,5619,1
Aarhus GF,678,1
Aberdeen FC,370,1
Académica Coimbra,2990,1
Adana Demirspor,3840,1
Adanaspor,6,1
Adelaide United,875,1
Ajax Amsterdam,610,1
Akhisarspor,19771,1
Akron Togliatti,71985,1
Al-Ahli Saudi Football Club,18487,1
Al-Ettifaq Football Club,7732,1
Al-Fateh Club,27221,1
Al-Fayha FC,50531,1
Al-Hazem Sport Club,9131,1
Al-Hilal Saudi Football Club,1114,2
Al-Ittihad Football Club,8023,1
Al-Khaleej Club (Saihat),6070,1
Al-Kholood Club,91427,1
Al-Najma Sport Club,32328,1
Al-Nassr Football Club,18544,1
Al-Okhdood Club,71665,1
Al-Orobah FC,39536,1
Al-Qadsiah Saudi Football Club,26069,1
Al-Raed SFC,22381,1
Al-Riyadh Saudi Club,31008,1
Al-Shabab Club,9840,1
Al-Taawoun Football Club,28844,1
Al-Wehda FC,17209,1
Alanyaspor,11282,1
Alaves,1108,19
Albirex Niigata,8344,1
Alianza FC,22902,1
Allmänna Idrottsklubben,272,1
Almere City FC,723,1
Altay SK,2375,1
Amiens SC,1416,1
Amkar Perm,4128,1
Angers,1420,17
Angers SCO,1420,17
Ankaraspor,2944,1
Antalyaspor,589,1
Anzhi Makhachkala ( -2022),2700,1
Apollon Smyrnis,441,1
Aris Thessalonikis,605,1
Arminia Bielefeld,10,1
Arsenal,11,20
Arsenal FC,11,20
Arsenal Kyiv,9007,1
Arsenal Tula,3729,1
Asociación Atlética Argentinos Juniors,1030,1
Asociación Atlética Estudiantes,14602,1
Asociación Deportivo Pasto,10090,1
Asociación de Fomento Deportivo Riestra Barrio Colón,19775,1
Associazione Sportiva Roma,12,26
Associação Chapecoense de Futebol,17776,1
Aston Villa,405,19
Atalanta,800,19
Atalanta BC,800,20
Athens Kallithea,3062,1
Athletic Bilbao,621,22
Athletic Club,621,22
Athlitiki Enosi Kifisias,30120,1
Athlitiki Enosi Konstantinoupoleos,2441,1
Athlitiki Enosi Larisas,4603,1
Atlanta United Football Club,51663,1
Atlas Guadalajara,8590,1
Atletico Madrid,13,19
Atlético Bucaramanga,6495,1
Atlético Nacional,8172,1
Atlético de Madrid,13,19
Atlético de San Luis,40188,1
Auckland FC,118373,1
Austin FC,72309,1
Austria Vienna,14,1
Auxerre,290,20
Avispa Fukuoka,9597,1
Avs Futebol,110302,1
B SAD,2457,1
BK Häcken,1109,1
BSC Young Boys,452,2
Balikesirspor,20698,1
Barcelona,131,22
Basaksehir FK,6890,1
Bayer 04 Leverkusen,15,21
Bayer Leverkusen,15,20
Bayern Munich,27,22
Bayern München,27,22
Beerschot AC,566,1
Beerschot VA,41274,1
Benevento Calcio,4171,1
Beşiktaş Jimnastik Kulübü,114,2
Boavista FC,2503,1
Bodrum FK,44006,1
"Bohemians Praha 1905, a.s.",715,1
Bologna,1025,25
Bologna Football Club 1909,1025,28
Borussia Dortmund,16,23
Borussia Mönchengladbach,18,19
Bournemouth,989,18
Boyacá Chicó FC,14649,1
Brentford,1148,17
Brentford FC,1148,17
Brescia Calcio,19,1
Brighton,1237,18
Brighton & Hove Albion,1237,18
Brisbane Roar,7831,1
Bryne FK,1057,1
Bröndby IF,206,1
Bucheon Football Club 1995,35759,1
Burnley,1132,21
Burnley FC,1132,21
Bursaspor,20,1
CA Osasuna,331,21
CA San Martín (San Juan),10511,1
CD América de Cali,2352,1
CD Cruz Azul,3711,1
CD Feirense,3349,1
CD Godoy Cruz Antonio Tomba,12574,1
CD Leganés,1244,1
CD Nacional,982,1
CD Santa Clara,2423,1
CD Tondela,7179,1
CF América,3631,2
CF Estrela Amadora,2431,1
CF Monterrey,2407,1
CF Os Belenenses,68608,1
CF Pachuca,4035,2
CF União Madeira (-2021),976,1
CFR Cluj,7769,1
CS Marítimo,1301,1
Cagliari,1390,17
Cagliari Calcio,1390,17
Cardiff City,603,1
Casa Pia AC,3268,1
Catania FC,1627,1
Caykur Rizespor,126,1
Ceará Sporting Club,2029,1
Celta Vigo,940,22
Celta de Vigo,940,23
Celtic FC,371,1
Central Coast Mariners,6954,1
Cercle Brugge,520,1
Cerezo Osaka,1022,1
Cesena FC,1429,1
Charlotte Football Club,78435,1
Chelsea,631,22
Chelsea FC,631,23
Chicago Fire Soccer Club,432,1
Chievo Verona,862,1
Chornomorets Odesa,6992,1
Clermont Foot 63,3524,1
Club Atlético Aldosivi,12301,1
Club Atlético Banfield,830,1
Club Atlético Barracas Central,25184,1
Club Atlético Belgrano,2417,1
Club Atlético Boca Juniors,189,1
Club Atlético Central Córdoba,31284,1
Club Atlético Gimnasia y Esgrima de Mendoza,14687,1
Club Atlético Huracán,2063,1
Club Atlético Independiente de Avellaneda,1234,1
Club Atlético Lanús,333,1
Club Atlético Newell’s Old Boys,1286,1
Club Atlético Platense,928,1
Club Atlético River Plate,209,1
Club Atlético Rosario Central,1418,1
Club Atlético San Lorenzo de Almagro,1775,1
Club Atlético Sarmiento,12454,1
Club Atlético Talleres,3938,1
Club Atlético Tigre,11831,1
Club Atlético Tucumán,14554,1
Club Atlético Unión,7097,1
Club Atlético Vélez Sársfield,1029,1
Club Brugge KV,2282,2
Club Estudiantes de La Plata,288,1
Club Internacional de Fútbol Miami,69261,1
Club León FC,4941,1
Club Necaxa,1146,1
Club Social y Deportivo Defensa y Justicia,2402,1
Club Sportivo Independiente Rivadavia,12179,1
Club Tijuana,13353,1
Club de Foot Montréal,4078,1
Club de Gimnasia y Esgrima La Plata,1106,1
Club de Regatas Vasco da Gama,978,1
Clube Atlético Mineiro,330,1
Clube Atlético Paranaense,679,1
Clube de Regatas do Flamengo,614,1
Clube do Remo,10997,1
Colorado Rapids,1247,1
Columbus Crew,813,1
Como,1047,21
Como 1907,1047,22
Coritiba Foot Ball Club,776,1
Cracovia,5689,1
Cremonese,2239,20
Cruzeiro Esporte Clube,609,1
Crystal Palace,873,17
Cádiz CF,2687,1
Córdoba CF,993,1
D.C. United,2440,1
Daegu FC,6504,1
Damac Football Club,50532,1
De Graafschap Doetinchem,642,1
Degerfors IF,3641,1
Delfino Pescara 1936,2921,1
Denizlispor,833,1
Deportes Tolima,10503,1
Deportivo Alavés,1108,19
Deportivo Cali,9961,1
Deportivo Guadalajara,6711,1
Deportivo Pereira,9811,1
Deportivo Toluca,1804,1
Deportivo de La Coruña,897,1
Desna Chernigiv,16239,1
Desportivo Aves (- 2020),3336,1
Dijon FCO,2969,1
Dinamo Makhachkala,75231,1
Djurgårdens Idrottsförening,1044,1
