player_id,name,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history
19030,M. O'Riley,CAM,2,,0,2,100.0,0,CAM:2
319517,A. Milambo,CAM,1,,0,1,100.0,0,CAM:1
311334,F. Buonanotte,CAM,1,,0,1,100.0,0,CAM:1
19035,H. Elliott,CAM,1,,0,1,100.0,0,CAM:1
792,J. Kluivert,CAM,10,,0,10,100.0,0,CAM:10
1468,E. Nketiah,CAM,2,,0,2,100.0,0,CAM:2
442044,M. Dowman,CAM,1,,0,1,100.0,0,CAM:1
1161,E. Smith Rowe,CAM,21,LW,1,22,95.5,0,CAM:21 | LW:1
389315,J. King,CAM,14,ST,1,15,93.3,0,CAM:14 | ST:1
2218,I. Sarr,CAM,22,RW,2,24,91.7,0,CAM:22 | RW:2
148099,K. Dewsbury-Hall,CAM,27,CDM,2,30,90.0,0,CAM:27 | CDM:2 | LW:1
301187,Pablo,CAM,9,LW,1,10,90.0,0,CAM:9 | LW:1
19220,M. Mount,CAM,10,CDM,2,12,83.3,0,CAM:10 | CDM:2
184226,Y. Pino,CAM,21,LW,3,26,80.8,0,CAM:21 | LW:3 | ST:1 | LM:1
15908,M. Damsgaard,CAM,19,CM,3,24,79.2,0,CAM:19 | CM:3 | LM:1 | LW:1
18746,M. Gibbs-White,CAM,27,LM,3,35,77.1,0,CAM:27 | LM:3 | ST:2 | RW:1 | CM:1 | LW:1
368030,E. J. Kroupi,CAM,15,ST,6,21,71.4,0,CAM:15 | ST:6
2287,R. Barkley,CAM,5,CDM,2,7,71.4,0,CAM:5 | CDM:2
195993,C. Alcaraz,CAM,4,RW,1,6,66.7,0,CAM:4 | RW:1 | LW:1
156477,R. Cherki,CAM,12,CM,2,19,63.2,0,CAM:12 | CM:2 | LM:2 | RM:2 | RW:1
456206,M. Mane,CAM,12,CM,6,19,63.2,0,CAM:12 | CM:6 | ST:1
203224,F. Wirtz,CAM,17,LW,6,27,63.0,0,CAM:17 | LW:6 | ST:2 | RW:1 | CM:1
152982,C. Palmer,CAM,15,RW,7,24,62.5,0,CAM:15 | RW:7 | CM:1 | LW:1
328225,B. Gruda,CAM,5,RW,3,8,62.5,0,CAM:5 | RW:3
