league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards,primary_position,primary_starts,secondary_position,secondary_starts,total_starts,position_confidence,unknown_starts,position_history,position_source,broad_position,detailed_position,goals_per90,assists_per90,shots_per90,shots_on_target_per90,passes_per90,key_passes_per90,tackles_per90,interceptions_per90,dribble_attempts_per90,successful_dribbles_per90,shot_accuracy,dribble_success_rate,season_teams,club_stints
135,Serie A,2025,505,Inter,5,M. Akanji,Manuel Obafemi,Akanji,30.0,Switzerland,188,91,https://media.api-sports.io/football/players/5.png,Defender,33.0,31.0,2820.0,7.15,2.0,0.0,19.0,6.0,2108.0,7.0,92.0,48.0,13.0,37.0,2.0,1.0,202.0,117.0,18.0,26.0,4.0,0.0,CB,0,,0,0,61.8,0,,statistical_fallback,Defender,CB,0.064,0.0,0.606,0.191,67.277,0.223,1.532,1.181,0.064,0.032,31.518,50.0,Inter,1
61,Ligue 1,2025,81,Marseille,6,L. Balerdi,Leonardo Julián,Balerdi Rosa,26.0,Argentina,187,76,https://media.api-sports.io/football/players/6.png,Defender,26.0,21.0,1998.0,6.91,0.0,1.0,17.0,5.0,1496.0,5.0,92.0,49.0,11.0,27.0,16.0,10.0,210.0,120.0,21.0,23.0,5.0,0.0,CB,0,,0,0,57.3,0,,statistical_fallback,Defender,CB,0.0,0.045,0.766,0.225,67.387,0.225,2.207,1.216,0.721,0.45,29.373,62.413,Marseille,1
78,Bundesliga,2025,157,Bayern München,8,Raphaël Guerreiro,Raphaël Adelino José,Guerreiro,32.0,Portugal,170,71,https://media.api-sports.io/football/players/8.png,Defender,18.0,8.0,803.0,6.78,5.0,2.0,10.0,5.0,525.0,18.0,89.0,7.0,1.0,2.0,14.0,3.0,44.0,14.0,2.0,3.0,0.0,0.0,FB,0,,0,0,66.3,0,,statistical_fallback,Defender,FB,0.56,0.224,1.121,0.56,58.842,2.017,0.785,0.224,1.569,0.336,49.955,21.415,Bayern München,1
61,Ligue 1,2025,85,Paris Saint Germain,9,A. Hakimi,Achraf,Hakimi Mouh,27.0,Morocco,181,73,https://media.api-sports.io/football/players/9.png,Defender,18.0,15.0,1374.0,6.79,2.0,2.0,20.0,9.0,1274.0,21.0,91.0,18.0,1.0,11.0,33.0,8.0,114.0,47.0,17.0,9.0,3.0,1.0,FB,0,,0,0,64.6,0,,statistical_fallback,Defender,FB,0.131,0.131,1.31,0.59,83.45,1.376,1.179,0.721,2.162,0.524,45.038,24.237,Paris Saint Germain,1
78,Bundesliga,2025,169,Eintracht Frankfurt,14,M. Dahoud,Mahmoud,Dahoud,29.0,Germany,178,68,https://media.api-sports.io/football/players/14.png,Midfielder,15.0,8.0,726.0,6.63,2.0,3.0,10.0,2.0,364.0,7.0,81.0,11.0,2.0,10.0,9.0,5.0,67.0,23.0,2.0,16.0,0.0,0.0,CAM,0,CM,0,0,58.5,0,,statistical_fallback,Midfielder,CAM,0.248,0.372,1.24,0.248,45.124,0.868,1.364,1.24,1.116,0.62,20.0,55.556,Eintracht Frankfurt,1
78,Bundesliga,2025,169,Eintracht Frankfurt,16,M. Götze,Mario,Götze,33.0,Germany,176,75,https://media.api-sports.io/football/players/16.png,Midfielder,21.0,8.0,879.0,6.5,0.0,0.0,2.0,0.0,494.0,15.0,83.0,14.0,3.0,5.0,14.0,5.0,93.0,32.0,12.0,9.0,1.0,0.0,CM,0,,0,0,58.0,0,,statistical_fallback,Midfielder,CM,0.0,0.0,0.205,0.0,50.58,1.536,1.433,0.512,1.433,0.512,0.0,35.729,Eintracht Frankfurt,1
135,Serie A,2025,489,AC Milan,17,C. Pulišić,Christian Mate,Pulišić,27.0,USA,177,73,https://media.api-sports.io/football/players/17.png,Attacker,30.0,18.0,1612.0,6.99,8.0,4.0,41.0,25.0,668.0,38.0,85.0,15.0,1.0,3.0,64.0,30.0,166.0,78.0,23.0,11.0,0.0,0.0,W,0,,0,0,57.6,0,,statistical_fallback,Attacker,W,0.447,0.223,2.289,1.396,37.295,2.122,0.837,0.167,3.573,1.675,60.987,46.879,AC Milan,1
39,Premier League,2025,66,Aston Villa,18,J. Sancho,Jadon Malik,Sancho,25.0,England,180,76,https://media.api-sports.io/football/players/18.png,Attacker,23.0,9.0,891.0,6.65,0.0,2.0,4.0,3.0,377.0,21.0,83.0,6.0,,2.0,29.0,16.0,64.0,27.0,2.0,3.0,0.0,0.0,RW,9,,0,9,100.0,0,RW:9,lineup_history,Attacker,RW,0.0,0.202,0.404,0.303,38.081,2.121,0.606,0.202,2.929,1.616,75.0,55.172,Aston Villa,1
140,La Liga,2025,547,Girona,20,A. Witsel,Axel Laurent Angel,Lambert Witsel,36.0,Belgium,186,81,https://media.api-sports.io/football/players/20.png,Defender,32.0,30.0,2533.0,6.85,1.0,2.0,16.0,5.0,1467.0,17.0,91.0,36.0,11.0,30.0,14.0,10.0,242.0,129.0,37.0,34.0,2.0,0.0,FB,0,,0,0,56.9,0,,statistical_fallback,Defender,FB,0.036,0.071,0.568,0.178,52.124,0.604,1.279,1.066,0.497,0.355,31.338,71.429,Girona,1
39,Premier League,2025,44,Burnley,22,J. Bruun Larsen,Jacob,Bruun Larsen,27.0,Denmark,183,77,https://media.api-sports.io/football/players/22.png,Attacker,28.0,10.0,1038.0,6.5,0.0,1.0,10.0,4.0,292.0,12.0,81.0,12.0,1.0,6.0,35.0,10.0,92.0,33.0,,1.0,0.0,0.0,RW,4,LW,3,10,40.0,0,RW:4 | LW:3 | ST:1 | RM:1 | CAM:1,lineup_history,Attacker,RW,0.0,0.087,0.867,0.347,25.318,1.04,1.04,0.52,3.035,0.867,40.023,28.567,Burnley,1
