api_football_player_id,name,team,league,age,transfermarkt_player_id,contract_expiration_date,verified_primary_position,verified_secondary_position,verified_position_group,verified_position_source,verified_position_confidence,verified_position_history,transfermarkt_position,current_appearances,current_goals,current_assists,current_minutes,current_weighted_goals,current_weighted_assists,current_weighted_minutes,current_starts,recent_weighted_output,recent_weighted_minutes,recent_starts,current_weighted_output,current_output_per90,current_output_percentile,current_rate_percentile,current_minutes_percentile,recent_output_percentile,recent_minutes_percentile,production_score,proven_score,availability_score
19617,M. Olise,Bayern München,Bundesliga,24.0,566723.0,2029-06-30 00:00:00,RW,,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,56.0,25.0,32.0,4285.0,25.05,32.699999999999996,4345.6,45.0,70.6413,6782.627,72.3,47.94,0.9928663475699557,100.0,99.7,99.4,100.0,98.5,99.9,99.5,100.0
502,J. Kimmich,Bayern München,Bundesliga,30.0,161056.0,2029-06-30 00:00:00,CDM,,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,53.0,2.0,15.0,4388.0,2.0,14.6,4451.45,47.0,21.698,8087.81,86.55000000000001,12.219999999999999,0.24706556290646867,98.9,92.5,97.7,98.9,100.0,98.2,99.6,100.0
1485,Bruno Fernandes,Manchester United,Premier League,31.0,240306.0,2027-06-30 00:00:00,CAM,CM,AM,transfermarkt_profile_and_lineups,95.0,,Attacking Midfield,37.0,9.0,22.0,3203.0,9.72,23.580000000000002,3428.19,36.0,50.761449999999996,7566.612,79.25,26.226,0.6885090966370008,99.2,96.7,94.3,100.0,97.5,98.6,99.1,98.9
128384,Vitinha,Paris Saint Germain,Ligue 1,25.0,487469.0,2029-06-30 00:00:00,CDM,,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,54.0,8.0,12.0,4371.0,8.93,11.16,4423.08,49.0,25.911499999999997,7487.966,79.55,16.741999999999997,0.34066306736482266,99.4,97.7,97.1,99.4,97.1,98.2,97.9,100.0
1640,H. Çalhanoğlu,Inter,Serie A,31.0,126414.0,2027-06-30 00:00:00,CDM,,DM,transfermarkt_profile_and_lineups,95.0,,Defensive Midfield,30.0,12.0,7.0,2137.0,12.18,7.38,2222.82,27.0,32.2668,5017.996500000001,61.0,17.346,0.7023240748238724,100.0,100.0,53.4,100.0,81.6,74.4,88.0,81.8
47516,Aleix García,Bayer Leverkusen,Bundesliga,28.0,261504.0,2029-06-30 00:00:00,CM,CDM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,50.0,6.0,11.0,4160.0,6.3,10.8,4313.1,47.0,20.4514,6526.7970000000005,71.3,13.86,0.28921193573068094,96.1,85.3,98.2,95.3,95.3,97.2,95.3,100.0
714,N. Amiri,FSV Mainz 05,Bundesliga,29.0,232454.0,2028-06-30 00:00:00,CM,CAM,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,30.0,15.0,4.0,2441.0,14.4,3.75,2379.1,32.0,24.624,4270.0,54.7,17.025,0.6440460678407801,98.6,100.0,63.8,97.1,72.0,79.4,80.8,91.0
31010,F. Dimarco,Inter,Serie A,28.0,198116.0,2027-06-30 00:00:00,LB,LM,FB,transfermarkt_profile_and_lineups,95.0,,Left-Back,50.0,8.0,18.0,3814.0,8.34,18.36,3920.88,43.0,31.416,6471.276,75.5,21.192,0.48644181918344864,99.7,99.7,97.3,99.7,97.3,97.7,97.7,100.0
83831,I. Kebbal,Paris FC,Ligue 1,27.0,739769.0,2028-06-30 00:00:00,RW,CAM,W,transfermarkt_profile_and_lineups,95.0,,Right Winger,29.0,9.0,4.0,2232.0,8.82,3.92,2187.36,26.0,11.564,2187.36,26.0,11.564,0.47580645161290325,80.4,83.4,67.5,54.8,36.7,81.2,48.5,82.3
756,F. Valverde,Real Madrid,La Liga,27.0,369081.0,2029-06-30 00:00:00,CM,RB,CM,transfermarkt_profile_and_lineups,95.0,,Central Midfield,55.0,11.0,13.0,4682.0,11.05,13.870000000000001,4844.9800000000005,53.0,31.747400000000003,9077.8875,97.65,20.759,0.3856176908883009,99.6,95.3,99.6,99.6,100.0,99.6,99.9,100.0
563,Álex Grimaldo,Bayer Leverkusen,Bundesliga,30.0,193082.0,2030-06-30 00:00:00,LB,LM,FB,transfermarkt_profile_and_lineups,95.0,,Left-Back,46.0,14.0,12.0,4038.0,14.6,12.5,4210.3,45.0,38.56325,7648.855,82.7,23.35,0.4991330784029641,100.0,100.0,97.9,100.0,100.0,98.2,100.0,100.0
40560,J. Kamiński,VfL Wolfsburg,Bundesliga,24.0,407098.0,2031-06-30 00:00:00,LW,CAM,W,transfermarkt_profile_and_lineups,95.0,,Left Winger,36.0,7.0,5.0,3177.0,7.0,5.0,3161.6,36.0,12.768,4024.635,44.95,10.5,0.2988992914979757,76.5,46.1,92.8,60.5,72.6,68.9,64.8,98.5
