player_id,name,team,age,nationality,photo,primary_position,detailed_position,position_group,position_confidence,minutes,rating,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
18,J. Sancho,Aston Villa,25.0,England,https://media.api-sports.io/football/players/18.png,RW,RW,W,100.0,891,6.65,84.9,93.0,76.9,20.9,40.3,52.1
22,J. Bruun Larsen,Burnley,27.0,Denmark,https://media.api-sports.io/football/players/22.png,RW,RW,W,40.0,1038,6.5,25.7,33.2,27.5,18.6,32.1,18.4
44,Rodri,Manchester City,29.0,Spain,https://media.api-sports.io/football/players/44.png,CDM,CDM,DM,82.4,1513,7.46,81.0,88.6,62.9,42.4,54.6,33.7
95,B. Badiashile,Chelsea,24.0,France,https://media.api-sports.io/football/players/95.png,CB,CB,CB,100.0,471,6.73,60.1,63.9,14.8,10.1,3.2,16.6
131,Jorge Cuenca,Fulham,26.0,Spain,https://media.api-sports.io/football/players/131.png,CB,CB,CB,100.0,965,6.85,54.9,60.0,47.9,21.8,46.3,16.6
138,J. Todibo,West Ham,26.0,France,https://media.api-sports.io/football/players/138.png,CB,CB,CB,100.0,1817,6.54,22.8,32.4,53.8,21.2,43.7,16.6
169,K. Trippier,Newcastle,35.0,England,https://media.api-sports.io/football/players/169.png,RB,RB,FB,94.4,1592,6.71,65.6,91.1,63.1,15.7,36.0,16.0
171,K. Walker-Peters,West Ham,28.0,England,https://media.api-sports.io/football/players/171.png,RB,RB,FB,93.3,1401,6.69,64.9,39.1,34.0,60.3,45.1,76.1
247,C. Gakpo,Liverpool,26.0,Netherlands,https://media.api-sports.io/football/players/247.png,LW,LW,W,71.9,2765,6.89,42.6,45.4,63.1,65.4,55.1,44.8
249,D. Malen,Aston Villa,26.0,Netherlands,https://media.api-sports.io/football/players/249.png,ST,ST,FW,80.0,680,6.6,36.8,42.6,72.4,82.9,85.5,57.1
250,J. Piroe,Leeds,26.0,Netherlands,https://media.api-sports.io/football/players/250.png,ST,ST,FW,100.0,320,6.46,61.5,61.6,13.0,44.0,37.1,13.0
253,A. Areola,West Ham,32.0,France,https://media.api-sports.io/football/players/253.png,GK,GK,GK,100.0,1800,6.76,25.6,42.6,65.8,47.4,49.4,50.6
280,Alisson Becker,Liverpool,33.0,Brazil,https://media.api-sports.io/football/players/280.png,GK,GK,GK,100.0,2351,6.78,42.1,41.3,33.1,47.4,38.1,50.6
281,C. Kelleher,Brentford,27.0,Republic of Ireland,https://media.api-sports.io/football/players/281.png,GK,GK,GK,100.0,3341,7.04,73.4,66.0,75.4,58.4,74.2,50.6
284,J. Gomez,Liverpool,28.0,England,https://media.api-sports.io/football/players/284.png,RB,RB,FB,71.4,644,6.57,60.3,70.7,56.4,53.3,55.0,28.3
285,K. Hoever,Wolves,23.0,Netherlands,https://media.api-sports.io/football/players/285.png,RWB,RWB,FB,83.3,428,6.56,45.6,39.5,56.5,48.3,56.6,66.2
289,A. Robertson,Liverpool,31.0,Scotland,https://media.api-sports.io/football/players/289.png,LB,LB,FB,100.0,1188,6.74,69.9,85.8,55.2,49.1,40.1,83.1
290,V. van Dijk,Liverpool,34.0,Netherlands,https://media.api-sports.io/football/players/290.png,CB,CB,CB,100.0,3431,7.28,81.9,77.6,48.0,78.2,49.6,91.8
292,J. Henderson,Brentford,35.0,England,https://media.api-sports.io/football/players/292.png,CDM,CDM,DM,95.5,1929,6.8,42.1,61.4,50.0,12.6,18.5,22.9
293,C. Jones,Liverpool,24.0,England,https://media.api-sports.io/football/players/293.png,CDM,CDM,DM,44.4,1961,6.85,90.1,80.2,63.2,63.5,68.8,52.3
296,J. Milner,Brighton,39.0,England,https://media.api-sports.io/football/players/296.png,CDM,CDM,DM,85.7,802,6.72,50.8,63.3,44.3,48.1,34.6,49.9
306,Mohamed Salah,Liverpool,33.0,Egypt,https://media.api-sports.io/football/players/306.png,RW,RW,W,95.7,2148,6.93,58.5,87.4,75.2,72.8,71.9,58.7
