league_id,league,season,team_id,team,matches_analyzed,primary_formation,primary_matches,primary_percentage,secondary_formation,secondary_matches,secondary_percentage,formation_history
39,Premier League,2025,42,Arsenal,38,4-3-3,24,63.2,4-2-3-1,14,36.8,4-3-3:24 | 4-2-3-1:14
39,Premier League,2025,66,Aston Villa,38,4-2-3-1,34,89.5,4-4-2,3,7.9,4-2-3-1:34 | 4-4-2:3 | 4-2-2-2:1
39,Premier League,2025,35,Bournemouth,38,4-2-3-1,36,94.7,4-1-4-1,2,5.3,4-2-3-1:36 | 4-1-4-1:2
39,Premier League,2025,55,Brentford,38,4-2-3-1,29,76.3,5-3-2,5,13.2,4-2-3-1:29 | 5-3-2:5 | 4-3-3:2 | 4-1-4-1:1 | 4-4-2:1
39,Premier League,2025,51,Brighton,38,4-2-3-1,33,86.8,4-3-3,4,10.5,4-2-3-1:33 | 4-3-3:4 | 3-4-2-1:1
39,Premier League,2025,44,Burnley,38,4-2-3-1,13,34.2,5-4-1,9,23.7,4-2-3-1:13 | 5-4-1:9 | 3-4-2-1:8 | 4-3-3:3 | 4-4-2:2 | 3-4-3:2 | 4-5-1:1
39,Premier League,2025,49,Chelsea,38,4-2-3-1,32,84.2,4-3-3,3,7.9,4-2-3-1:32 | 4-3-3:3 | 4-1-4-1:1 | 5-4-1:1 | 3-4-1-2:1
39,Premier League,2025,52,Crystal Palace,38,3-4-2-1,33,86.8,3-4-3,4,10.5,3-4-2-1:33 | 3-4-3:4 | 5-4-1:1
39,Premier League,2025,45,Everton,38,4-2-3-1,37,97.4,4-3-3,1,2.6,4-2-3-1:37 | 4-3-3:1
39,Premier League,2025,36,Fulham,38,4-2-3-1,35,92.1,3-4-2-1,3,7.9,4-2-3-1:35 | 3-4-2-1:3
39,Premier League,2025,63,Leeds,38,4-3-3,12,31.6,3-5-2,12,31.6,4-3-3:12 | 3-5-2:12 | 3-4-2-1:6 | 5-4-1:3 | 3-4-1-2:2 | 4-1-4-1:1 | 3-1-4-2:1 | 4-5-1:1
39,Premier League,2025,40,Liverpool,38,4-2-3-1,34,89.5,4-2-2-2,2,5.3,4-2-3-1:34 | 4-2-2-2:2 | 4-3-3:1 | 4-3-1-2:1
39,Premier League,2025,50,Manchester City,38,4-1-4-1,13,34.2,4-3-2-1,8,21.1,4-1-4-1:13 | 4-3-2-1:8 | 4-3-3:6 | 4-2-3-1:5 | 4-1-3-2:4 | 4-2-2-2:2
39,Premier League,2025,33,Manchester United,38,4-2-3-1,20,52.6,3-4-2-1,18,47.4,4-2-3-1:20 | 3-4-2-1:18
39,Premier League,2025,34,Newcastle,38,4-3-3,27,71.1,4-2-3-1,6,15.8,4-3-3:27 | 4-2-3-1:6 | 5-3-2:1 | 3-4-2-1:1 | 4-5-1:1 | 4-1-4-1:1 | 3-5-2:1
39,Premier League,2025,65,Nottingham Forest,38,4-2-3-1,29,76.3,4-4-2,4,10.5,4-2-3-1:29 | 4-4-2:4 | 5-3-2:2 | 3-4-3:1 | 4-5-1:1 | 3-4-2-1:1
39,Premier League,2025,746,Sunderland,38,4-2-3-1,21,55.3,4-3-3,5,13.2,4-2-3-1:21 | 4-3-3:5 | 5-4-1:5 | 4-4-2:3 | 4-1-4-1:3 | 3-4-3:1
39,Premier League,2025,47,Tottenham,38,4-2-3-1,19,50.0,4-3-3,9,23.7,4-2-3-1:19 | 4-3-3:9 | 3-4-2-1:4 | 4-4-2:3 | 4-2-2-2:2 | 3-5-2:1
39,Premier League,2025,48,West Ham,38,4-2-3-1,10,26.3,4-4-1-1,8,21.1,4-2-3-1:10 | 4-4-1-1:8 | 4-3-3:4 | 3-4-1-2:3 | 3-4-2-1:3 | 4-1-4-1:2 | 3-4-3:2 | 4-3-1-2:2 | 4-5-1:2 | 4-3-2-1:1 | 4-4-2:1
39,Premier League,2025,39,Wolves,38,3-4-2-1,12,31.6,3-5-2,9,23.7,3-4-2-1:12 | 3-5-2:9 | 3-4-3:5 | 4-3-3:4 | 5-3-2:3 | 4-2-3-1:2 | 3-5-1-1:2 | 3-4-1-2:1
