league_id,league,season,team_id,team,matches_analyzed,avg_possession,avg_total_shots,avg_shots_on_target,avg_shots_inside_box,avg_corners,avg_total_passes,avg_accurate_passes,avg_pass_accuracy,shots_per_100_passes,shot_accuracy,possession_control,passing_control,chance_creation,attacking_pressure,directness,shooting_efficiency
78,Bundesliga,2025,180,1. FC Heidenheim,34,42.26,11.41,3.62,7.88,4.53,362.38,278.79,75.88,3.15,31.7,9.4,8.1,31.0,28.8,82.3,20.8
78,Bundesliga,2025,192,1. FC Köln,34,47.09,13.38,4.62,9.41,4.62,408.32,330.94,80.12,3.28,34.51,42.7,40.4,73.5,58.6,88.5,55.2
78,Bundesliga,2025,167,1899 Hoffenheim,34,55.24,14.12,5.18,9.71,5.79,472.5,381.56,80.29,2.99,36.67,81.2,52.8,83.7,82.1,67.7,80.2
78,Bundesliga,2025,168,Bayer Leverkusen,34,59.18,15.18,5.18,9.79,5.59,605.44,533.88,87.68,2.51,34.11,91.7,95.7,87.2,86.7,16.7,50.0
78,Bundesliga,2025,157,Bayern München,34,67.44,19.18,8.5,12.97,6.35,700.91,632.26,89.88,2.74,44.33,97.9,99.0,100.0,98.6,38.5,100.0
78,Bundesliga,2025,165,Borussia Dortmund,34,53.24,13.06,4.79,9.68,5.32,493.21,415.79,83.21,2.65,36.71,67.7,67.4,76.1,69.0,25.0,81.2
78,Bundesliga,2025,163,Borussia Mönchengladbach,34,46.71,11.62,4.15,7.71,3.76,442.29,363.97,81.47,2.63,35.7,37.5,50.7,41.9,32.0,21.9,75.0
78,Bundesliga,2025,169,Eintracht Frankfurt,34,54.97,12.03,4.62,8.09,4.68,498.18,418.74,83.32,2.41,38.39,78.1,70.9,56.7,57.1,11.5,94.8
78,Bundesliga,2025,170,FC Augsburg,34,43.97,13.18,4.62,8.47,4.62,392.06,309.15,78.29,3.36,35.04,19.8,23.5,68.2,49.8,92.7,58.3
78,Bundesliga,2025,186,FC St. Pauli,34,44.35,10.26,3.35,6.09,4.74,427.68,333.35,77.06,2.4,32.66,22.9,28.5,10.9,25.3,10.4,25.0
78,Bundesliga,2025,164,FSV Mainz 05,34,43.97,12.06,4.15,9.21,5.06,370.74,280.18,74.56,3.25,34.39,19.8,9.4,57.1,43.2,87.5,53.1
78,Bundesliga,2025,175,Hamburger SV,34,45.35,12.29,4.56,8.06,3.68,390.12,315.06,80.0,3.15,37.08,27.1,31.7,55.4,33.7,82.3,83.3
78,Bundesliga,2025,173,RB Leipzig,34,53.88,15.79,6.0,11.29,5.29,503.0,426.15,84.15,3.14,37.99,75.0,77.0,93.7,82.2,79.2,90.6
78,Bundesliga,2025,160,SC Freiburg,34,48.0,12.24,4.21,8.38,4.12,406.47,330.5,80.06,3.01,34.38,45.8,38.9,54.6,42.0,69.8,52.1
78,Bundesliga,2025,182,Union Berlin,34,40.24,12.47,3.91,9.06,5.0,334.44,242.59,71.44,3.73,31.37,4.2,3.5,52.9,40.5,100.0,14.6
78,Bundesliga,2025,172,VfB Stuttgart,34,57.68,15.24,6.09,10.0,5.68,517.09,434.76,83.71,2.95,39.96,87.5,74.5,90.8,86.9,59.4,96.9
78,Bundesliga,2025,161,VfL Wolfsburg,36,45.44,11.94,4.22,7.47,4.36,407.64,321.86,78.0,2.93,35.35,28.1,27.3,44.0,37.3,58.3,65.6
78,Bundesliga,2025,162,Werder Bremen,34,51.15,13.03,4.12,8.09,4.53,480.41,395.32,81.53,2.71,31.6,61.5,59.3,56.4,60.4,32.3,19.8
140,La Liga,2025,542,Alaves,38,48.08,12.16,4.03,7.76,5.05,404.45,324.95,79.45,3.01,33.12,46.9,32.9,44.0,51.2,69.8,33.3
140,La Liga,2025,531,Athletic Club,38,48.61,13.74,4.5,9.42,5.76,409.42,328.82,79.18,3.36,32.76,47.9,34.9,71.9,70.4,92.7,27.1
140,La Liga,2025,530,Atletico Madrid,38,53.32,13.11,5.08,9.13,6.47,505.37,432.68,84.95,2.59,38.76,68.8,81.5,75.5,76.4,18.8,95.8
140,La Liga,2025,529,Barcelona,38,68.79,18.21,6.76,12.05,6.89,652.61,587.08,89.68,2.79,37.14,100.0,97.9,98.7,99.6,44.8,84.4
140,La Liga,2025,538,Celta Vigo,38,50.42,10.05,4.03,6.55,3.79,497.66,428.37,85.47,2.02,40.05,56.2,82.5,22.7,25.8,1.0,97.9
140,La Liga,2025,797,Elche,38,57.71,10.79,3.82,7.53,3.79,498.37,426.39,84.63,2.16,35.37,88.5,78.8,27.2,39.7,2.1,66.7
140,La Liga,2025,540,Espanyol,38,42.34,12.63,4.16,7.97,4.68,348.0,273.45,77.45,3.63,32.92,11.5,8.0,53.1,42.7,99.0,31.2
140,La Liga,2025,546,Getafe,38,40.08,9.24,2.76,5.58,4.29,286.84,198.16,68.08,3.22,29.91,1.0,1.0,2.4,10.1,84.4,10.4
140,La Liga,2025,547,Girona,38,50.63,11.18,4.13,7.24,4.18,467.16,400.26,85.03,2.39,36.94,57.3,72.7,33.8,35.9,9.4,82.3
140,La Liga,2025,539,Levante,38,42.79,12.53,3.87,7.92,4.26,355.34,282.03,78.03,3.53,30.88,14.6,12.9,45.5,38.0,96.9,11.5
140,La Liga,2025,798,Mallorca,38,47.0,10.87,4.16,7.29,3.68,397.13,321.97,79.79,2.74,38.26,41.7,33.8,33.3,24.0,38.5,93.8
