league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
78,Bundesliga,2025,162,Werder Bremen,3013,D. Kownacki,Dawid Igor,Kownacki,28.0,Poland,186,75,https://media.api-sports.io/football/players/3013.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,169,Eintracht Frankfurt,14276,H. Smolčić,Hrvoje,Smolčić,25.0,Croatia,183,80,https://media.api-sports.io/football/players/14276.png,Defender,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,163,Borussia Mönchengladbach,22148,N. Ngoumou,Nathan,Ngoumou Minpole,25.0,France,182,70,https://media.api-sports.io/football/players/22148.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,165,Borussia Dortmund,24894,D. Ramaj,Diant,Ramaj,24.0,Germany,189,81,https://media.api-sports.io/football/players/24894.png,Goalkeeper,4.0,4.0,360.0,7.425000,,0.0,,,193.0,,,,,,,,6.0,3.0,1.0,2.0,1.0,0.0
78,Bundesliga,2025,180,1. FC Heidenheim,24894,D. Ramaj,Diant,Ramaj,24.0,Germany,189,81,https://media.api-sports.io/football/players/24894.png,Goalkeeper,31.0,31.0,2790.0,6.98,0.0,1.0,,,1531.0,1.0,65.0,1.0,,,,,21.0,15.0,2.0,2.0,2.0,0.0
78,Bundesliga,2025,192,1. FC Köln,25178,L. Paqarada,Leart,Paqarada,31.0,Kosovo,184,76,https://media.api-sports.io/football/players/25178.png,Defender,2.0,2.0,7.0,,,0.0,,,2.0,,,,,,,,1.0,,,,0.0,0.0
78,Bundesliga,2025,180,1. FC Heidenheim,25178,L. Paqarada,Leart,Paqarada,31.0,Kosovo,184,76,https://media.api-sports.io/football/players/25178.png,Defender,1.0,1.0,7.0,,0.0,0.0,,,2.0,,100.0,,,,,,1.0,,,,0.0,0.0
78,Bundesliga,2025,161,VfL Wolfsburg,30527,Rogério,Rogério,Oliveira da Silva,27.0,Brazil,178,70,https://media.api-sports.io/football/players/30527.png,Defender,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,175,Hamburger SV,40533,Ł. Poręba,Łukasz,Poręba,25.0,Poland,179,76,https://media.api-sports.io/football/players/40533.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,175,Hamburger SV,48475,S. Hefti,Silvan,Hefti,28.0,Switzerland,182,76,https://media.api-sports.io/football/players/48475.png,Defender,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,169,Eintracht Frankfurt,90594,J. Dina Ebimbe,Éric Junior,Dina Ebimbe,25.0,France,183,76,https://media.api-sports.io/football/players/90594.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,157,Bayern München,126530,Daniel Peretz,Daniel,Peretz,25.0,Israel,195,89,https://media.api-sports.io/football/players/126530.png,Goalkeeper,4.0,2.0,,,,,,,,,,,,,,,,,,,0.0,0.0
78,Bundesliga,2025,175,Hamburger SV,126530,Daniel Peretz,Daniel,Peretz,25.0,Israel,195,89,https://media.api-sports.io/football/players/126530.png,Goalkeeper,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0
78,Bundesliga,2025,180,1. FC Heidenheim,128849,M. Breunig,Maximilian,Breunig,25.0,Germany,195,78,https://media.api-sports.io/football/players/128849.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,165,Borussia Dortmund,280463,S. Ostrzinski,Silas,Ostrzinski,22.0,Germany,198,86,https://media.api-sports.io/football/players/280463.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,180,1. FC Heidenheim,327887,Luka Janes,Luka,Janes,21.0,Germany,183,73,https://media.api-sports.io/football/players/327887.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,157,Bayern München,327897,A. Ibrahimović,Arijon,Ibrahimović,20.0,Germany,176,69,https://media.api-sports.io/football/players/327897.png,Midfielder,4.0,4.0,288.0,6.375000,,0.0,5.0,4.0,89.0,5.0,,4.0,,1.0,6.0,2.0,27.0,12.0,1.0,2.0,0.0,0.0
78,Bundesliga,2025,180,1. FC Heidenheim,327897,A. Ibrahimović,Arijon,Ibrahimović,20.0,Germany,176,69,https://media.api-sports.io/football/players/327897.png,Attacker,32.0,25.0,2181.0,6.8,2.0,4.0,33.0,19.0,813.0,56.0,72.0,34.0,5.0,23.0,51.0,23.0,249.0,109.0,27.0,13.0,2.0,0.0
78,Bundesliga,2025,173,RB Leipzig,340154,A. Vermeeren,Arthur Denis,Vermeeren,20.0,Belgium,180,76,https://media.api-sports.io/football/players/340154.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,175,Hamburger SV,380937,J. Agyekum,Joel,Agyekum,20.0,Germany,186,79,https://media.api-sports.io/football/players/380937.png,Defender,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,169,Eintracht Frankfurt,387534,Noah Dávid Gabriel Fenyö,Noah Dávid Gabriel,Fenyö,19.0,Germany,182,72,https://media.api-sports.io/football/players/387534.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,175,Hamburger SV,416268,Fernando Dickes,Fernando,Dickes,18.0,Germany,193,89,https://media.api-sports.io/football/players/416268.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,161,VfL Wolfsburg,442629,J. Zieliński,Jakub,Zieliński,17.0,Poland,192,,https://media.api-sports.io/football/players/442629.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,173,RB Leipzig,469695,V. Gebel,Viggo,Gebel,18.0,Germany,174,69,https://media.api-sports.io/football/players/469695.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,167,1899 Hoffenheim,718,D. Geiger,Dennis,Geiger,27.0,Germany,173,67,https://media.api-sports.io/football/players/718.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,160,SC Freiburg,25383,F. Muslija,Florent,Muslija,27.0,Kosovo,172,65,https://media.api-sports.io/football/players/25383.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,172,VfB Stuttgart,178093,Y. Keitel,Yannik,Keitel,25.0,Germany,186,84,https://media.api-sports.io/football/players/178093.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,170,FC Augsburg,178093,Y. Keitel,Yannik,Keitel,25.0,Germany,186,84,https://media.api-sports.io/football/players/178093.png,Midfielder,6.0,2.0,247.0,6.67,0.0,0.0,,,89.0,,80.0,6.0,4.0,2.0,,,26.0,15.0,2.0,3.0,2.0,0.0
78,Bundesliga,2025,170,FC Augsburg,202755,T. Breithaupt,Tim,Breithaupt,23.0,Germany,192,74,https://media.api-sports.io/football/players/202755.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,186,FC St. Pauli,203324,S. Spari,Simon Emil,Spari,23.0,Austria,196,77,https://media.api-sports.io/football/players/203324.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,157,Bayern München,280339,A. Sieb,Armindo,Sieb,22.0,Germany,175,75,https://media.api-sports.io/football/players/280339.png,Attacker,4.0,2.0,137.0,6.750000,1.0,0.0,5.0,2.0,31.0,2.0,,,,,2.0,2.0,20.0,6.0,1.0,3.0,1.0,0.0
78,Bundesliga,2025,164,FSV Mainz 05,280339,A. Sieb,Armindo,Sieb,22.0,Germany,175,75,https://media.api-sports.io/football/players/280339.png,Attacker,22.0,3.0,553.0,6.5,2.0,0.0,12.0,6.0,147.0,9.0,69.0,7.0,,1.0,18.0,6.0,97.0,27.0,2.0,16.0,1.0,0.0
78,Bundesliga,2025,172,VfB Stuttgart,287927,J. Diehl,Justin,Diehl,21.0,Germany,174,67,https://media.api-sports.io/football/players/287927.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,167,1899 Hoffenheim,288097,L. Petersson,Lúkas Jóhannes,Blöndal Petersson,21.0,Iceland,193,91,https://media.api-sports.io/football/players/288097.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,170,FC Augsburg,322508,Y. Kabadayı,Yusuf Karhan,Kabadayı,22.0,Germany,186,75,https://media.api-sports.io/football/players/322508.png,Forward,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,167,1899 Hoffenheim,327861,T. Drexler,Tim,Drexler,20.0,Germany,183,78,https://media.api-sports.io/football/players/327861.png,Defender,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,170,FC Augsburg,328019,M. Kücüksahin,Mahmut,Kücüksahin,21.0,Türkiye,175,70,https://media.api-sports.io/football/players/328019.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
78,Bundesliga,2025,167,1899 Hoffenheim,353143,Hennes Behrens,Hennes,Behrens,20.0,Germany,175,70,https://media.api-sports.io/football/players/353143.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
