league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
140,La Liga,2025,718,Oviedo,755,Jaime Seoane,Jaime,Seoane Valenciano,28.0,Spain,175,73,https://media.api-sports.io/football/players/755.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,532,Valencia,919,Hugo Guillamón,Hugo,Guillamón Sanmartín,25.0,Spain,178,62,https://media.api-sports.io/football/players/919.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,798,Mallorca,2001,C. Larin,Cyle Christopher,Larin,30.0,Canada,188,83,https://media.api-sports.io/football/players/2001.png,Forward,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,546,Getafe,2039,Juan Berrocal,Juan,Berrocal González,26.0,Spain,187,72,https://media.api-sports.io/football/players/2039.png,Defender,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,718,Oviedo,46996,Álvaro Lemos,Álvaro,Lemos Collazo,32.0,Spain,175,77,https://media.api-sports.io/football/players/46996.png,Defender,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,798,Mallorca,61142,D. Greif,Dominik,Greif,28.0,Slovakia,197,82,https://media.api-sports.io/football/players/61142.png,Goalkeeper,4.0,2.0,90.0,7.700000,,0.0,,,25.0,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,547,Girona,162032,Miguel Gutiérrez,Miguel,Gutiérrez Ortega,24.0,Spain,180,73,https://media.api-sports.io/football/players/162032.png,Defender,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0
140,La Liga,2025,539,Levante,163630,Alfonso Pastor,Alfonso,Pastor Vacas,25.0,Spain,190,78,https://media.api-sports.io/football/players/163630.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,538,Celta Vigo,182730,Marc Vidal,Marc Vicente,Vidal Girona,25.0,Spain,185,74,https://media.api-sports.io/football/players/182730.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,531,Athletic Club,183848,Julen Agirrezabala,Julen,Agirrezabala Astúlez,25.0,Spain,187,80,https://media.api-sports.io/football/players/183848.png,Goalkeeper,5.0,5.0,450.0,6.360000,,0.0,,,157.0,1.0,,,,,,,3.0,3.0,,,0.0,0.0
140,La Liga,2025,532,Valencia,183848,Julen Agirrezabala,Julen,Agirrezabala Astúlez,25.0,Spain,187,80,https://media.api-sports.io/football/players/183848.png,Goalkeeper,18.0,18.0,1620.0,6.93,0.0,0.0,,,493.0,1.0,69.0,2.0,,,,,12.0,10.0,1.0,,1.0,0.0
140,La Liga,2025,533,Villarreal,184194,Álex Forés,Álex,Forés Mendoza,24.0,Spain,179,67,https://media.api-sports.io/football/players/184194.png,Attacker,4.0,2.0,77.0,6.450000,,0.0,2.0,2.0,17.0,,,,,,2.0,2.0,4.0,2.0,,1.0,0.0,0.0
140,La Liga,2025,718,Oviedo,184194,Álex Forés,Álex,Forés Mendoza,24.0,Spain,179,67,https://media.api-sports.io/football/players/184194.png,Attacker,18.0,3.0,382.0,6.46,0.0,1.0,5.0,2.0,63.0,1.0,68.0,2.0,,1.0,7.0,3.0,38.0,15.0,6.0,3.0,0.0,0.0
140,La Liga,2025,533,Villarreal,184420,Carlos Romero,Carlos,Romero Serrano,24.0,Spain,180,73,https://media.api-sports.io/football/players/184420.png,Defender,5.0,5.0,450.0,7.200000,1.0,1.0,2.0,1.0,140.0,4.0,,14.0,3.0,5.0,16.0,8.0,50.0,26.0,3.0,6.0,0.0,0.0
140,La Liga,2025,540,Espanyol,184420,Carlos Romero,Carlos,Romero Serrano,24.0,Spain,180,73,https://media.api-sports.io/football/players/184420.png,Defender,36.0,36.0,3195.0,7.06,6.0,3.0,26.0,12.0,1011.0,27.0,79.0,97.0,16.0,40.0,84.0,49.0,327.0,178.0,19.0,40.0,4.0,0.0
140,La Liga,2025,533,Villarreal,187987,Ramón Terrats,Ramón,Terrats Espacio,25.0,Spain,181,71,https://media.api-sports.io/football/players/187987.png,Midfielder,5.0,3.0,88.0,6.575000,,0.0,1.0,,25.0,1.0,,4.0,,,4.0,3.0,23.0,11.0,2.0,2.0,0.0,0.0
140,La Liga,2025,540,Espanyol,187987,Ramón Terrats,Ramón,Terrats Espacio,25.0,Spain,181,71,https://media.api-sports.io/football/players/187987.png,Midfielder,29.0,12.0,1062.0,6.62,1.0,2.0,12.0,3.0,255.0,16.0,76.0,23.0,5.0,11.0,28.0,9.0,153.0,63.0,22.0,15.0,0.0,0.0
140,La Liga,2025,531,Athletic Club,190489,Álvaro Djaló,Álvaro,Djaló Dias Fernandes,26.0,Spain,175,73,https://media.api-sports.io/football/players/190489.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,532,Valencia,288074,Alberto Marí,Alberto,Marí Sánchez,24.0,Spain,183,78,https://media.api-sports.io/football/players/288074.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,531,Athletic Club,313025,Hugo Rincón,Hugo,Rincón Lumbreras,22.0,Spain,183,75,https://media.api-sports.io/football/players/313025.png,Defender,5.0,2.0,194.0,6.275000,,0.0,2.0,,61.0,3.0,,1.0,2.0,2.0,3.0,3.0,20.0,8.0,2.0,3.0,1.0,0.0
140,La Liga,2025,547,Girona,313025,Hugo Rincón,Hugo,Rincón Lumbreras,22.0,Spain,183,75,https://media.api-sports.io/football/players/313025.png,Defender,33.0,16.0,1758.0,6.71,1.0,1.0,6.0,2.0,774.0,10.0,82.0,47.0,9.0,5.0,17.0,9.0,223.0,129.0,53.0,32.0,4.0,0.0
140,La Liga,2025,728,Rayo Vallecano,333378,Diego Méndez,Diego,Méndez Molero,22.0,Spain,182,76,https://media.api-sports.io/football/players/333378.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,547,Girona,336674,G. Misehouy,Gabriel,Osei Misehouy,20.0,Netherlands,173,68,https://media.api-sports.io/football/players/336674.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,540,Espanyol,347885,Marcos Fernández,Marcos,Fernández Sánchez,22.0,Spain,176,65,https://media.api-sports.io/football/players/347885.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,539,Levante,445025,Víctor Fernández,Víctor,Fernández Durán,18.0,Spain,170,60,https://media.api-sports.io/football/players/445025.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,542,Alaves,143,Carles Aleñá,Carles,Aleña Castillo,27.0,Spain,180,70,https://media.api-sports.io/football/players/143.png,Midfielder,34.0,23.0,1995.0,6.59,0.0,4.0,18.0,5.0,850.0,38.0,85.0,37.0,2.0,10.0,27.0,12.0,228.0,99.0,36.0,38.0,5.0,0.0
140,La Liga,2025,542,Alaves,6233,N. Tenaglia,Facundo Nahuel,Tenaglia,29.0,Argentina,180,73,https://media.api-sports.io/football/players/6233.png,Defender,36.0,36.0,3239.0,6.83,2.0,0.0,19.0,8.0,1367.0,7.0,86.0,66.0,30.0,46.0,21.0,9.0,279.0,164.0,42.0,31.0,3.0,0.0
140,La Liga,2025,542,Alaves,6638,F. Garcés,Facundo Tomás,Garcés,26.0,Argentina,191,82,https://media.api-sports.io/football/players/6638.png,Defender,10.0,8.0,792.0,6.64,0.0,0.0,7.0,4.0,354.0,,84.0,13.0,9.0,7.0,,,74.0,39.0,3.0,13.0,3.0,0.0
140,La Liga,2025,542,Alaves,18740,Jonny,Jonathan,Castro Otto,31.0,Spain,175,70,https://media.api-sports.io/football/players/18740.png,Defender,34.0,34.0,2998.0,6.68,0.0,0.0,8.0,3.0,1759.0,17.0,86.0,67.0,14.0,40.0,35.0,26.0,276.0,149.0,30.0,37.0,7.0,0.0
140,La Liga,2025,532,Valencia,19352,Sergi Canós,Sergi,Canós Tenés,28.0,Spain,177,75,https://media.api-sports.io/football/players/19352.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,536,Sevilla,47013,Rafa Mir,Rafael,Mir Vicente,28.0,Spain,191,86,https://media.api-sports.io/football/players/47013.png,Attacker,5.0,4.0,317.0,7.060000,3.0,0.0,8.0,5.0,74.0,,,2.0,1.0,2.0,3.0,1.0,36.0,12.0,7.0,8.0,0.0,0.0
140,La Liga,2025,797,Elche,47013,Rafa Mir,Rafael,Mir Vicente,28.0,Spain,191,86,https://media.api-sports.io/football/players/47013.png,Attacker,27.0,21.0,1815.0,6.67,8.0,0.0,62.0,36.0,417.0,9.0,79.0,16.0,1.0,5.0,20.0,5.0,171.0,55.0,16.0,39.0,4.0,0.0
140,La Liga,2025,536,Sevilla,47016,Álvaro Fernández,Álvaro,Fernández Llorente,27.0,Spain,185,75,https://media.api-sports.io/football/players/47016.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
140,La Liga,2025,542,Alaves,47181,Toni Martínez,Antonio,Martínez López,28.0,Spain,187,83,https://media.api-sports.io/football/players/47181.png,Attacker,37.0,32.0,2725.0,6.99,14.0,3.0,76.0,36.0,667.0,24.0,58.0,28.0,2.0,4.0,39.0,17.0,506.0,258.0,37.0,46.0,2.0,0.0
140,La Liga,2025,538,Celta Vigo,47277,Unai Núñez,Unai,Núñez Gestoso,28.0,Spain,186,80,https://media.api-sports.io/football/players/47277.png,Defender,4.0,4.0,360.0,6.675000,,0.0,1.0,,140.0,1.0,,11.0,3.0,7.0,2.0,2.0,39.0,21.0,,9.0,0.0,0.0
140,La Liga,2025,532,Valencia,47277,Unai Núñez,Unai,Núñez Gestoso,28.0,Spain,186,80,https://media.api-sports.io/football/players/47277.png,Defender,13.0,10.0,921.0,6.72,0.0,0.0,7.0,1.0,438.0,2.0,85.0,24.0,5.0,11.0,2.0,,79.0,44.0,7.0,12.0,3.0,0.0
140,La Liga,2025,542,Alaves,47353,Sivera,Antonio,Sivera Salvá,29.0,Spain,184,75,https://media.api-sports.io/football/players/47353.png,Goalkeeper,38.0,38.0,3420.0,6.93,0.0,0.0,,,1036.0,,50.0,2.0,,,,,17.0,14.0,1.0,1.0,3.0,0.0
140,La Liga,2025,542,Alaves,104821,Jon Guridi,Jon,Guridi Aldalur,30.0,Spain,179,64,https://media.api-sports.io/football/players/104821.png,Midfielder,28.0,15.0,1259.0,6.5,0.0,0.0,11.0,4.0,443.0,11.0,82.0,29.0,2.0,10.0,19.0,8.0,143.0,65.0,8.0,15.0,1.0,0.0
