league_id,league,season,team_id,team,player_id,name,firstname,lastname,age,nationality,height,weight,photo,position,appearances,lineups,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,pass_accuracy,tackles,blocks,interceptions,dribble_attempts,successful_dribbles,duels_total,duels_won,fouls_drawn,fouls_committed,yellow_cards,red_cards
61,Ligue 1,2025,111,Le Havre,2707,O. El Hajjam,Oualid,El Hajjam,34.0,Morocco,181,72,https://media.api-sports.io/football/players/2707.png,Defender,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,116,Lens,6231,F. Medina,Facundo Axel,Medina,26.0,Argentina,184,78,https://media.api-sports.io/football/players/6231.png,Defender,1.0,1.0,61.0,7.200000,,0.0,,,75.0,,72.0,1.0,,,,,4.0,1.0,,3.0,0.0,0.0
61,Ligue 1,2025,81,Marseille,6231,F. Medina,Facundo Axel,Medina,26.0,Argentina,184,78,https://media.api-sports.io/football/players/6231.png,Defender,17.0,16.0,1376.0,6.81,0.0,1.0,4.0,1.0,1043.0,7.0,91.0,19.0,13.0,23.0,7.0,4.0,91.0,43.0,10.0,24.0,7.0,0.0
61,Ligue 1,2025,97,Lorient,24245,G. Kalulu,Gédéon,Kalulu Kyatengwa,28.0,Congo DR,178,78,https://media.api-sports.io/football/players/24245.png,Defender,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,91,Monaco,40384,R. Majecki,Radosław,Majecki,26.0,Poland,193,78,https://media.api-sports.io/football/players/40384.png,Goalkeeper,3.0,3.0,235.0,6.300000,,0.0,,,68.0,,,,,,,,4.0,2.0,,1.0,0.0,1.0
61,Ligue 1,2025,106,Stade Brestois 29,40384,R. Majecki,Radosław,Majecki,26.0,Poland,193,78,https://media.api-sports.io/football/players/40384.png,Goalkeeper,10.0,10.0,865.0,6.68,0.0,0.0,,,298.0,,67.0,,,,,,5.0,3.0,1.0,1.0,0.0,1.0
61,Ligue 1,2025,77,Angers,64190,Y. Fofana,Yahia,Fofana,25.0,France,194,89,https://media.api-sports.io/football/players/64190.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,85,Paris Saint Germain,162473,Arnau Tenas,Arnau,Tenas Ureña,24.0,Spain,185,85,https://media.api-sports.io/football/players/162473.png,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,116,Lens,326073,R. Labeau Lascary,Rémy,Labeau Lascary,22.0,France,184,72,https://media.api-sports.io/football/players/326073.png,Attacker,2.0,0.0,41.0,7.000000,1.0,0.0,1.0,1.0,10.0,1.0,,,,,2.0,1.0,15.0,5.0,2.0,5.0,1.0,0.0
61,Ligue 1,2025,106,Stade Brestois 29,326073,R. Labeau Lascary,Rémy,Labeau Lascary,22.0,France,184,72,https://media.api-sports.io/football/players/326073.png,Attacker,27.0,12.0,1195.0,6.7,5.0,1.0,26.0,16.0,226.0,13.0,80.0,16.0,2.0,6.0,51.0,20.0,179.0,65.0,18.0,29.0,2.0,0.0
61,Ligue 1,2025,77,Angers,327555,Y. Gaya,Yacine,Gaya,21.0,Algeria,184,74,https://media.api-sports.io/football/players/327555.png,Defender,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,84,Nice,339620,L. Monteiro Alvarenga,Laurenzo,Monteiro Alvarenga,21.0,France,185,71,https://media.api-sports.io/football/players/339620.png,Defender,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,111,Le Havre,339633,A. Logbo,Andy Élysée,Logbo,21.0,France,188,75,https://media.api-sports.io/football/players/339633.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,95,Strasbourg,346700,M. Luković,Miloš,Luković,20.0,Serbia,184,85,https://media.api-sports.io/football/players/346700.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,83,Nantes,349636,A. Mahamoud,Adel Azhardine,Mahamoud,22.0,Comoros,178,,https://media.api-sports.io/football/players/349636.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,111,Le Havre,392584,M. Bentoumi,Mokrane,Bentoumi,20.0,France,169,,https://media.api-sports.io/football/players/392584.png,Midfielder,,,,,,,,,,,,,,,,,,,,,,
61,Ligue 1,2025,112,Metz,405072,J. Mangondo,Joseph,Mangondo,20.0,France,179,,https://media.api-sports.io/football/players/405072.png,Attacker,,,,,,,,,,,,,,,,,,,,,,
