league_id,league,season,team_id,team,player_id,name,age,nationality,photo,position,appearances,minutes,rating,goals,assists,shots,shots_on_target,passes,key_passes,tackles,interceptions,dribble_attempts,successful_dribbles,goals_per90,assists_per90,shots_per90,shots_on_target_per90,key_passes_per90,tackles_per90,interceptions_per90,dribble_attempts_per90,successful_dribbles_per90
39,Premier League,2024,33,Manchester United,889,V. Lindelöf,31,Sweden,https://media.api-sports.io/football/players/889.png,Defender,16,693,6.671428,0,0,0,0,380,3,7,8,0,0,0.0,0.0,0.0,0.0,0.39,0.909,1.039,0.0,0.0
39,Premier League,2024,33,Manchester United,284324,A. Garnacho,21,Argentina,https://media.api-sports.io/football/players/284324.png,Attacker,36,2196,6.797222,6,2,55,30,750,37,30,13,81,26,0.246,0.082,2.254,1.23,1.516,1.23,0.533,3.32,1.066
39,Premier League,2024,33,Manchester United,402329,A. Heaven,19,England,https://media.api-sports.io/football/players/402329.png,Defender,4,170,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Premier League,2024,33,Manchester United,37145,T. Malacia,26,Netherlands,https://media.api-sports.io/football/players/37145.png,Defender,3,101,6.566666,0,0,0,0,48,1,2,1,1,1,0.0,0.0,0.0,0.0,0.891,1.782,0.891,0.891,0.891
39,Premier League,2024,33,Manchester United,2935,H. Maguire,32,England,https://media.api-sports.io/football/players/2935.png,Defender,30,1764,6.892592,1,0,13,7,1118,8,30,40,5,2,0.051,0.0,0.663,0.357,0.408,1.531,2.041,0.255,0.102
39,Premier League,2024,33,Manchester United,545,N. Mazraoui,28,Morocco,https://media.api-sports.io/football/players/545.png,Defender,37,2848,6.980555,0,1,7,3,1589,20,115,34,44,26,0.0,0.032,0.221,0.095,0.632,3.634,1.074,1.39,0.822
39,Premier League,2024,33,Manchester United,532,M. de Ligt,26,Netherlands,https://media.api-sports.io/football/players/532.png,Defender,30,2128,6.913793,2,0,14,9,1370,6,30,33,4,2,0.085,0.0,0.592,0.381,0.254,1.269,1.396,0.169,0.085
39,Premier League,2024,33,Manchester United,891,L. Shaw,30,England,https://media.api-sports.io/football/players/891.png,Defender,8,348,6.814285,0,0,1,0,277,6,4,2,1,0,0.0,0.0,0.259,0.0,1.552,1.034,0.517,0.259,0.0
39,Premier League,2024,33,Manchester United,403064,H. Amass,18,England,https://media.api-sports.io/football/players/403064.png,Defender,13,346,6.46,0,0,2,0,143,1,6,2,7,3,0.0,0.0,0.52,0.0,0.26,1.561,0.52,1.821,0.78
39,Premier League,2024,33,Manchester United,342970,L. Yoro,20,France,https://media.api-sports.io/football/players/342970.png,Defender,21,1169,6.657142,0,0,3,1,757,2,29,18,4,2,0.0,0.0,0.231,0.077,0.154,2.233,1.386,0.308,0.154
39,Premier League,2024,33,Manchester United,382452,P. Dorgu,21,Denmark,https://media.api-sports.io/football/players/382452.png,Defender,12,842,6.9,0,0,8,2,389,12,31,4,9,3,0.0,0.0,0.855,0.214,1.283,3.314,0.428,0.962,0.321
39,Premier League,2024,33,Manchester United,886,Diogo Dalot,26,Portugal,https://media.api-sports.io/football/players/886.png,Defender,33,2814,6.975757,0,3,17,5,1374,27,68,37,49,27,0.0,0.096,0.544,0.16,0.864,2.175,1.183,1.567,0.864
39,Premier League,2024,33,Manchester United,2467,Lisandro Martínez,27,Argentina,https://media.api-sports.io/football/players/2467.png,Defender,22,1754,7.13,2,1,11,6,1314,9,40,32,7,6,0.103,0.051,0.564,0.308,0.462,2.052,1.642,0.359,0.308
39,Premier League,2024,33,Manchester United,328101,T. Fredricson,20,England,https://media.api-sports.io/football/players/328101.png,Defender,8,166,6.95,0,0,0,0,122,0,5,1,1,1,0.0,0.0,0.0,0.0,0.0,2.711,0.542,0.542,0.542
39,Premier League,2024,33,Manchester United,1485,Bruno Fernandes,31,Portugal,https://media.api-sports.io/football/players/1485.png,Midfielder,37,3024,7.605555,8,10,65,29,2020,91,84,26,61,28,0.238,0.298,1.935,0.863,2.708,2.5,0.774,1.815,0.833
39,Premier League,2024,33,Manchester United,19220,M. Mount,26,England,https://media.api-sports.io/football/players/19220.png,Midfielder,20,625,6.635294,1,0,15,9,237,8,15,4,9,1,0.144,0.0,2.16,1.296,1.152,2.16,0.576,1.296,0.144
39,Premier League,2024,33,Manchester United,284322,K. Mainoo,20,England,https://media.api-sports.io/football/players/284322.png,Midfielder,26,1656,6.736,0,0,7,2,818,14,46,19,48,23,0.0,0.0,0.38,0.109,0.761,2.5,1.033,2.609,1.25
39,Premier League,2024,33,Manchester United,51494,M. Ugarte,24,Uruguay,https://media.api-sports.io/football/players/51494.png,Midfielder,32,1796,6.824137,1,2,12,4,897,10,77,27,28,18,0.05,0.1,0.601,0.2,0.501,3.859,1.353,1.403,0.902
39,Premier League,2024,33,Manchester United,747,Casemiro,33,Brazil,https://media.api-sports.io/football/players/747.png,Midfielder,38,1513,7.195833,1,0,25,10,960,22,83,14,6,3,0.059,0.0,1.487,0.595,1.309,4.937,0.833,0.357,0.178
